uniprot_id,database,processed,has_go_terms,has_go_terms_pair
P16885,MoonDB,True,True,True
Q8IZH2,MoonDB,True,True,True
Q00613,MoonDB,True,True,True
Q06406,MoonDB,True,True,True
Q13114,MoonDB,True,True,True
P06733,MoonProt3,True,True,True
Q9NQX1,MoonDB,True,True,True
P12931,MoonDB,True,True,True
P40763,MoonDB,True,True,True
Q0VCU1,MoonProt3,True,True,True
P32325,MoonDB,True,True,True
P50222,MoonDB,True,True,True
Q9Y6K9,MoonDB,True,True,True
Q05516,MoonDB,True,True,True
P00957,MoonProt3,True,True,True
P09546,MoonProt3,True,True,True
P0DP23,MoonDB,True,True,True
Q60591,MoonDB,True,True,True
Q9H6Y7,MoonDB,True,True,True
P06709,MoonProt3,True,True,True
Q99816,MoonDB,True,True,True
P14755,MoonProt3,True,True,True
Q14457,MoonDB,True,True,True
P15692,MoonDB,True,True,True
P06702,MoonProt3,True,True,True
P11980,MoonProt3,True,True,True
P28482,MoonProt3,True,True,True
P55055,MoonDB,True,True,True
P13639,MoonProt3,True,True,True
P03069,MoonProt3,True,True,True
P67870,MoonDB,True,True,True
Q6P9J9,MoonProt3,True,True,True
P09960,MoonProt3,True,True,True
P00546,MoonDB,True,True,True
Q3Y454,MoonProt3,True,True,True
P00374,MoonProt3,True,True,True
Q6GIL8,MoonProt3,True,True,True
P23396,MoonProt3,True,True,True
Q7L0Y3,MoonProt3,True,True,True
O88470,MoonDB,True,True,True
P11473,MoonDB,True,True,True
P26639,MoonProt3,True,True,True
P24228,MoonProt3,True,True,True
P16951,MoonProt3,True,True,True
Q92731,MoonDB,True,True,True
P00533,MoonDB,True,True,True
P13010,MoonDB,True,True,True
O60568,MoonProt3,True,True,True
P53350,MoonDB,True,True,True
P19889,MoonProt3,True,True,True
Q13492,MoonProt3,True,True,True
Q96SB4,MoonDB,True,True,True
P09874,MoonProt3,True,True,True
P50570,MoonDB,True,True,True
Q9NQ66,MoonProt3,True,True,True
O95835,MoonProt3,True,True,True
P14921,MoonDB,True,True,True
Q06124,MoonDB,True,True,True
Q27820,MoonProt3,True,True,True
Q00610,MoonDB,True,True,True
O14503,MoonDB,True,True,True
Q12873,MoonDB,True,True,True
Q9H4A3,MoonDB,True,True,True
A0A0H3LHU4,MoonProt3,True,True,True
Q5XIM7,MoonProt3,True,True,True
P12956,MoonDB,True,True,True
P04637,MoonDB,True,True,True
P27278,MoonProt3,True,True,True
O43318,MoonDB,True,True,True
P0A8M3,MoonProt3,True,True,True
Q9Y4K3,MoonDB,True,True,True
Q5SW96,MoonDB,True,True,True
P42684,MoonDB,True,True,True
Q06559,MoonProt3,True,True,True
P04626,MoonDB,True,True,True
F9VMT6,MoonProt3,True,True,True
Q8IUQ4,MoonDB,True,True,True
P15291,MoonProt3,True,True,True
Q00987,MoonDB,True,True,True
