accession_code,go_id,category
P10809,GO:0043066,P
P10809,GO:1900118,P
P10809,GO:1900119,P
P10809,GO:0032727,P
P10809,GO:0032733,P
P10809,GO:0032735,P
P10809,GO:0032755,P
P10809,GO:0043032,P
P10809,GO:0050870,P
P10809,GO:0002842,P
P10809,GO:0032729,P
P10809,GO:0042026,P
P10809,GO:0050821,P
P10809,GO:0006986,P
P10809,GO:0042110,P
Q9MZB4,GO:0001669,C
Q9MZB4,GO:0009897,C
Q9MZB4,GO:0004364,F
Q9MZB4,GO:0007339,P
P0DPK5,GO:0005654,C
P0DPK5,GO:0000786,C
P08902,GO:0030246,F
P08902,GO:0042802,F
Q88YH3,GO:0009986,C
Q88YH3,GO:0001968,F
O81770,GO:0009706,C
O81770,GO:0046509,F
O81770,GO:0035250,F
O81770,GO:0008194,F
O81770,GO:0009793,P
O81770,GO:0009247,P
O81770,GO:0010027,P
P15700,GO:0005737,C
P15700,GO:0005634,C
P15700,GO:0004017,F
P15700,GO:0009041,F
P15700,GO:0006207,P
P15700,GO:0006139,P
P10493,GO:0005604,C
P10493,GO:0071944,C
P10493,GO:0031012,C
P10493,GO:0005576,C
P10493,GO:0005518,F
P10493,GO:0050840,F
P10493,GO:0043237,F
P10493,GO:0007160,P
P10493,GO:0030198,P
P10493,GO:0032836,P
P10493,GO:0010811,P
P03615,GO:0039617,C
P03615,GO:0003723,F
P03615,GO:0030371,F
P28241,GO:0045242,C
P28241,GO:0005739,C
P28241,GO:0006537,P
P28241,GO:0006102,P
P28241,GO:0006099,P
O60906,GO:0008081,F
O60906,GO:0004767,F
O60906,GO:0006685,P
O75334,GO:0005737,C
O75334,GO:0005829,C
O75334,GO:0043197,C
O75334,GO:0007160,P
O75334,GO:0099519,P
O75334,GO:0060998,P
O75334,GO:0061001,P
O14960,GO:0005737,C
O14960,GO:0005615,C
O14960,GO:0042802,F
O14960,GO:0006935,P
O14960,GO:0001501,P
O59734,GO:0071014,C
O59734,GO:0005681,C
O59734,GO:0005685,C
O59734,GO:0005686,C
O59734,GO:0005682,C
O59734,GO:0000395,P
O59734,GO:0045292,P
O60609,GO:0005829,C
O60609,GO:0019898,C
O60609,GO:0005886,C
O60609,GO:0016167,F
O60609,GO:0005102,F
O60609,GO:0035860,P
O60609,GO:0007422,P
O60609,GO:0007165,P
P01857,GO:0005576,C
P01857,GO:0005615,C
P01857,GO:0071735,C
P01857,GO:0034988,F
P01857,GO:0002250,P
P01857,GO:0001788,P
P01857,GO:0097278,P
Q0VCU1,GO:0005737,C
Q0VCU1,GO:0005829,C
Q0VCU1,GO:0051538,F
Q0VCU1,GO:0051539,F
Q0VCU1,GO:0003994,F
Q0VCU1,GO:0008198,F
Q0VCU1,GO:0030350,F
Q0VCU1,GO:0006101,P
O15537,GO:0009897,C
O15537,GO:0005615,C
O15537,GO:0007155,P
O15537,GO:0001654,P
O15537,GO:0051260,P
O15537,GO:0007601,P
P16233,GO:0005576,C
P16233,GO:0005615,C
P16233,GO:0016298,F
P16233,GO:0006629,P
P16233,GO:0061365,P
P14384,GO:0005576,C
P14384,GO:0005886,C
P14384,GO:0004180,F
P14384,GO:0009653,P
P05187,GO:0009986,C
P05187,GO:0005886,C
P05187,GO:0004035,F
O75694,GO:0005829,C
O75694,GO:0005635,C
O75694,GO:0031965,C
O75694,GO:0006998,P
P01588,GO:0009986,C
P01588,GO:0005576,C
P01588,GO:0005615,C
P01588,GO:0005125,F
P01588,GO:0005128,F
P01588,GO:0005179,F
P01588,GO:0097696,P
P01588,GO:0071474,P
P01588,GO:0030218,P
P01588,GO:0038162,P
P01588,GO:0010523,P
P01588,GO:2001258,P
P01588,GO:1902251,P
P01588,GO:1902219,P
P01588,GO:0000122,P
P01588,GO:0008284,P
